=== ps5-ra1-n1.maas ===
HOST	CREATED AT	NAME	ID	STATUS	VM STATE	BOOT SOURCE	FLAVOR	RAM	DISK	VCPUS	JUJU UNIT
ps5-ra1-n1.maas	2026-05-13T16:35:50Z	lcy02-amd64-004	ec677315-8e01-42e8-9695-f57b9b5ba699	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T16:12:24Z	lcy02-amd64-009	857030d2-f835-40cb-86f5-03e2d18f8a7f	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T16:09:57Z	lcy02-amd64-113	6595d764-7d92-49d7-a52d-24eadc421591	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T16:04:58Z	lcy02-amd64-061	7611af39-f738-4cb5-90c1-9840a4540d72	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T16:01:29Z	lcy02-amd64-096	5f1dd7a8-2b9d-473f-ba09-5748c0702ec7	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:53:49Z	lcy02-amd64-003	9f438381-afab-4993-b4d1-43aa1b6b4135	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:51:17Z	lcy02-amd64-068	cac5db29-69fe-495f-9589-d8777ae5a679	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:47:25Z	lcy02-amd64-045	ab26ecc5-a8ee-4025-bd45-8f84d046e383	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:33:12Z	lcy02-amd64-082	01ca66cc-4147-450c-b3f5-e23903a07944	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:31:54Z	lcy02-amd64-030	f2701425-8fe4-41ff-8473-f858ae08acde	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:29:16Z	lcy02-amd64-056	ee995e27-a75e-4996-a528-11cf3252fbce	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:25:40Z	lcy02-amd64-052	2ddb5e91-8e08-404f-9d85-a96c4d53b615	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:25:07Z	lcy02-amd64-057	a86f0265-6ed7-41eb-91e9-940d817ef972	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:21:52Z	lcy02-amd64-033	ca413a13-538b-4a7d-ac7d-0dd9602efb42	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:19:11Z	lcy02-amd64-063	2f5dda3f-010f-444a-b6e1-e2cef7ba1217	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:18:56Z	lcy02-amd64-091	77b8b6d9-b957-4cc3-a30b-b1ab7a0e5f89	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T15:18:12Z	lcy02-amd64-116	e6eb4560-f8c4-48d7-8a7c-a8b6d79d78a3	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T14:56:08Z	lcy02-amd64-017	da084afa-ca61-4391-bbcc-b5254fa27414	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-05-13T14:18:12Z	openstack-amd64-noble-large-ps5-9-f8db068fb9b2	233453ed-414c-428a-bf3c-abc4f67c1a29	ACTIVE	active	image	builder-cpu8-ram32-disk100	32768	100	8	-
ps5-ra1-n1.maas	2026-04-21T20:34:17Z	lcy02-amd64-026	9980c862-1fbe-4fe1-8d76-bc273d1bb952	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-04-21T18:09:10Z	lcy02-amd64-066	6a693390-0c66-4d7d-b65f-61576e834fef	ACTIVE	active	image	vbuilder	16384	80	4	-
ps5-ra1-n1.maas	2026-02-18T13:37:33Z	virtustom-anthos-vmware-test	e0090e10-d5df-4a2f-9b13-dd28691c8754	ACTIVE	active	image	builder-cpu2-ram4-disk20	4096	20	2	-
ps5-ra1-n1.maas	2025-09-24T18:16:26Z	20250924_61--coacknxcrq	adb25126-358d-4bc1-ba5b-cc2889d23bbe	ACTIVE	active	image	builder-cpu2-ram4-disk20	4096	20	2	-
ps5-ra1-n1.maas	2024-12-10T06:17:49Z	juju-e341c1-stg-launchpad-buildbot-15	6bbfa6f6-5a65-4b99-a7a0-69bc860cf23a	ACTIVE	active	image	69890dd6-715e-47ec-b731-c99de7902b94 (deleted)	-	-	-	buildbot-worker/2
